name,type,slug,primary_muscles,secondary_muscles,equipment,description,default_sets,default_reps,default_load_kg,default_rest_seconds,difficulty,modality,estimated_minutes,tags,contraindications,progression_rule_method,progression_rule_trigger,published
Bodyweight Squat,strength,bodyweight-squat,Quadriceps,"Glutes,Hamstrings,Core",,Stand with feet shoulder-width apart. Lower your body by bending knees and hips. Keep chest up and weight on heels. Push through heels to return to start.,3,15,,60,beginner,reps,2,"Legs,Bodyweight,Fat Loss,Beginner",Knee injuries,reps_then_load,complete_all_sets_twice,true
Jump Squat,strength,jump-squat,Quadriceps,"Glutes,Hamstrings,Calves",,Perform a bodyweight squat then explosively jump up. Land softly and immediately go into next rep. Great for fat loss and power.,3,12,,90,intermediate,reps,3,"Legs,Bodyweight,Fat Loss,Cardio,Power",Knee injuries,reps,complete_all_sets_twice,true
Push-up,strength,push-up,Chest,"Triceps,Shoulders,Core",,Start in plank position with hands shoulder-width apart. Lower body until chest nearly touches floor. Push back up. Keep core tight throughout.,3,12,,60,beginner,reps,2,"Chest,Bodyweight,Upper Body,Beginner",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Diamond Push-up,strength,diamond-push-up,Triceps,"Chest,Shoulders",,Push-up with hands close together forming diamond shape. Targets triceps more than regular push-up.,3,10,,75,intermediate,reps,2,"Triceps,Bodyweight,Upper Body",Wrist injuries,reps_then_load,complete_all_sets_twice,true
Wide Push-up,strength,wide-push-up,Chest,"Shoulders,Triceps",,Push-up with hands placed wider than shoulder-width. Emphasizes chest muscles.,3,12,,60,beginner,reps,2,"Chest,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Pike Push-up,strength,pike-push-up,Shoulders,"Triceps,Upper Chest",,Start in downward dog position. Bend elbows to lower head toward floor. Push back up. Great shoulder builder.,3,10,,75,intermediate,reps,2,"Shoulders,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Incline Push-up,strength,incline-push-up,Chest,"Triceps,Shoulders",Box,Push-up with hands elevated on bench or box. Easier variation for beginners.,3,15,,60,beginner,reps,2,"Chest,Bodyweight,Beginner,Upper Body",,reps_then_load,complete_all_sets_twice,true
Decline Push-up,strength,decline-push-up,Upper Chest,"Shoulders,Triceps",Box,Push-up with feet elevated on bench or box. More challenging variation.,3,10,,75,intermediate,reps,3,"Chest,Bodyweight,Upper Body",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Burpee,cardio,burpee,Full Body,"Chest,Legs,Core",,Stand then drop into squat. Kick feet back to plank. Do push-up. Jump feet to hands. Jump up with arms overhead. Ultimate fat loss exercise.,3,10,,90,intermediate,reps,4,"Cardio,Fat Loss,Full Body,HIIT",,reps,complete_all_sets_twice,true
Mountain Climbers,cardio,mountain-climbers,Core,"Hip Flexors,Shoulders",,Start in plank position. Alternate bringing knees to chest rapidly. Keep hips low. Excellent for fat loss.,3,20,,45,beginner,reps,3,"Core,Cardio,Fat Loss,HIIT",,reps,complete_all_sets_twice,true
Plank,strength,plank,Core,"Shoulders,Glutes",,Hold push-up position on forearms. Keep body straight from head to heels. Breathe normally.,3,30,time_seconds,60,beginner,time,2,"Core,Bodyweight,Beginner,Stability",,time,hold_for_target_time,true
Side Plank,strength,side-plank,Obliques,"Core,Shoulders",,Lie on side propped on forearm. Lift hips off ground forming straight line. Hold position.,3,30,time_seconds,60,intermediate,time,2,"Core,Bodyweight,Obliques,Stability",,time,hold_for_target_time,true
Plank to Down Dog,strength,plank-to-down-dog,Core,"Shoulders,Hamstrings",,Start in plank. Push hips up to downward dog position. Return to plank. Dynamic core exercise.,3,12,,60,intermediate,reps,3,"Core,Bodyweight,Flexibility,Fat Loss",,reps,complete_all_sets_twice,true
Lunge,strength,lunge,Quadriceps,"Glutes,Hamstrings",,Step forward with one leg. Lower until both knees at 90 degrees. Push back to start. Alternate legs.,3,12,,60,beginner,reps,3,"Legs,Bodyweight,Beginner,Balance",Knee injuries,reps_then_load,complete_all_sets_twice,true
Reverse Lunge,strength,reverse-lunge,Quadriceps,"Glutes,Hamstrings",,Step backward instead of forward. Easier on knees than forward lunge.,3,12,,60,beginner,reps,3,"Legs,Bodyweight,Beginner,Balance",Knee injuries,reps_then_load,complete_all_sets_twice,true
Walking Lunge,strength,walking-lunge,Quadriceps,"Glutes,Hamstrings",,Perform lunges while moving forward. Great for fat loss and functional fitness.,3,20,,60,intermediate,reps,4,"Legs,Bodyweight,Fat Loss,Functional",,reps_then_load,complete_all_sets_twice,true
Bulgarian Split Squat,strength,bulgarian-split-squat,Quadriceps,"Glutes,Hamstrings",Bench,Rear foot elevated on bench. Lunge down on front leg. Excellent leg builder.,3,10,,75,intermediate,reps,4,"Legs,Balance,Unilateral",Knee injuries,reps_then_load,complete_all_sets_twice,true
Glute Bridge,strength,glute-bridge,Glutes,"Hamstrings,Core",,Lie on back with knees bent. Lift hips until body forms straight line. Squeeze glutes at top.,3,15,,60,beginner,reps,2,"Glutes,Bodyweight,Beginner",,reps_then_load,complete_all_sets_twice,true
Single-Leg Glute Bridge,strength,single-leg-glute-bridge,Glutes,"Hamstrings,Core",,Glute bridge performed on one leg. More challenging variation.,3,10,,60,intermediate,reps,3,"Glutes,Bodyweight,Unilateral,Balance",,reps_then_load,complete_all_sets_twice,true
Hip Thrust,strength,hip-thrust,Glutes,"Hamstrings,Core",Bench,Upper back on bench. Drive hips up. Best glute exercise. Can add weight.,3,12,,75,intermediate,reps,3,"Glutes,Legs",,reps_then_load,complete_all_sets_twice,true
Calf Raise,strength,calf-raise,Calves,,None,Stand on edge of step. Rise up on toes. Lower heels below step level. Can be done on flat ground too.,3,20,,45,beginner,reps,2,"Calves,Bodyweight,Beginner",,reps_then_load,complete_all_sets_twice,true
Single-Leg Calf Raise,strength,single-leg-calf-raise,Calves,,,Calf raise on one leg. More challenging.,3,15,,60,intermediate,reps,2,"Calves,Bodyweight,Unilateral",,reps_then_load,complete_all_sets_twice,true
High Knees,cardio,high-knees,Hip Flexors,"Core,Calves",,Run in place bringing knees up to hip level. Great cardio and fat loss exercise.,3,30,time_seconds,45,beginner,time,2,"Cardio,Fat Loss,Warm-up,HIIT",,time,complete_all_sets_twice,true
Butt Kicks,cardio,butt-kicks,Hamstrings,Calves,,Run in place kicking heels to glutes. Good warm-up and cardio.,3,30,time_seconds,45,beginner,time,2,"Cardio,Warm-up,Hamstrings",,time,complete_all_sets_twice,true
Jumping Jacks,cardio,jumping-jacks,Full Body,"Shoulders,Calves",,Classic cardio exercise. Jump feet apart while raising arms overhead.,3,30,time_seconds,30,beginner,time,2,"Cardio,Warm-up,Fat Loss,Full Body",,time,complete_all_sets_twice,true
Bicycle Crunches,strength,bicycle-crunches,Core,Obliques,,Lie on back. Alternate bringing opposite elbow to knee while extending other leg. Great for obliques.,3,20,,45,beginner,reps,2,"Core,Bodyweight,Abs,Obliques",,reps,complete_all_sets_twice,true
Russian Twist,strength,russian-twist,Obliques,Core,,Sit with knees bent and feet off ground. Twist torso side to side. Can hold weight.,3,20,,45,intermediate,reps,2,"Core,Obliques,Bodyweight",,reps_then_load,complete_all_sets_twice,true
Leg Raises,strength,leg-raises,Lower Abs,"Hip Flexors,Core",,Lie on back. Raise legs until perpendicular to floor. Lower slowly. Challenging ab exercise.,3,12,,60,intermediate,reps,2,"Core,Abs,Bodyweight",,reps,complete_all_sets_twice,true
Flutter Kicks,strength,flutter-kicks,Lower Abs,"Hip Flexors,Core",,Lie on back. Alternate kicking legs up and down keeping them straight. Keep lower back pressed to floor.,3,30,time_seconds,45,beginner,reps,2,"Core,Abs,Bodyweight",,time,complete_all_sets_twice,true
Superman,strength,superman,Lower Back,"Glutes,Hamstrings",,Lie face down. Simultaneously raise arms and legs off ground. Hold briefly. Lower.,3,15,,60,beginner,reps,2,"Lower Back,Bodyweight,Posterior Chain",,reps,complete_all_sets_twice,true
Bird Dog,strength,bird-dog,Core,"Lower Back,Glutes",,On hands and knees. Extend opposite arm and leg. Hold then switch. Great for balance and core stability.,3,12,,45,beginner,reps,2,"Core,Balance,Stability,Bodyweight",,reps,complete_all_sets_twice,true
Dumbbell Goblet Squat,strength,dumbbell-goblet-squat,Quadriceps,"Glutes,Core",Dumbbell,Hold dumbbell at chest. Perform squat. Great for learning squat form.,3,12,12,75,beginner,reps,3,"Legs,Dumbbell,Beginner",Knee injuries,reps_then_load,complete_all_sets_twice,true
Dumbbell Romanian Deadlift,strength,dumbbell-rdl,Hamstrings,"Glutes,Lower Back",Dumbbells,Hold dumbbells in front of thighs. Hinge at hips keeping back straight. Lower weights along legs. Feel stretch in hamstrings.,3,12,15,90,intermediate,reps,4,"Hamstrings,Dumbbells,Posterior Chain",,reps_then_load,complete_all_sets_twice,true
Dumbbell Bench Press,strength,dumbbell-bench-press,Chest,"Triceps,Shoulders",Dumbbells,Lie on bench. Press dumbbells up from chest. Lower with control.,3,10,20,90,intermediate,reps,4,"Chest,Dumbbells,Pressing",,reps_then_load,complete_all_sets_twice,true
Dumbbell Shoulder Press,strength,dumbbell-shoulder-press,Shoulders,"Triceps,Upper Chest",Dumbbells,Sit or stand. Press dumbbells overhead. Lower to shoulder level.,3,10,15,75,intermediate,reps,3,"Shoulders,Dumbbells,Pressing",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Dumbbell Row,strength,dumbbell-row,Back,"Biceps,Core",Dumbbell,One hand and knee on bench. Row dumbbell to hip. Squeeze shoulder blade.,3,12,20,60,intermediate,reps,3,"Back,Dumbbells,Pulling",,reps_then_load,complete_all_sets_twice,true
Dumbbell Bicep Curl,strength,dumbbell-bicep-curl,Biceps,,Dumbbells,Stand holding dumbbells. Curl weights up keeping elbows stationary. Lower with control.,3,12,12,45,beginner,reps,2,"Biceps,Dumbbells,Arms",,reps_then_load,complete_all_sets_twice,true
Dumbbell Tricep Extension,strength,dumbbell-tricep-extension,Triceps,,Dumbbell,Hold one dumbbell overhead with both hands. Lower behind head. Extend back up.,3,12,10,60,beginner,reps,2,"Triceps,Dumbbells,Arms",,reps_then_load,complete_all_sets_twice,true
Dumbbell Lateral Raise,strength,dumbbell-lateral-raise,Shoulders,,Dumbbells,Stand with dumbbells at sides. Raise arms out to sides until parallel to floor. Lower slowly.,3,12,8,60,beginner,reps,2,"Shoulders,Dumbbells,Isolation",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Dumbbell Front Raise,strength,dumbbell-front-raise,Front Shoulders,,Dumbbells,Stand with dumbbells in front of thighs. Raise arms straight in front to shoulder height.,3,12,8,60,beginner,reps,2,"Shoulders,Dumbbells,Isolation",,reps_then_load,complete_all_sets_twice,true
Dumbbell Lunge,strength,dumbbell-lunge,Quadriceps,"Glutes,Hamstrings",Dumbbells,Hold dumbbells at sides. Perform lunges. Added weight increases difficulty.,3,10,15,75,intermediate,reps,4,"Legs,Dumbbells,Unilateral",Knee injuries,reps_then_load,complete_all_sets_twice,true
Barbell Back Squat,strength,barbell-back-squat,Quadriceps,"Glutes,Hamstrings,Core",Barbell,Bar on upper back. Squat down keeping chest up. Drive through heels. King of exercises.,4,8,60,120,intermediate,reps,5,"Legs,Barbell,Compound,Strength",Knee injuries,reps_then_load,complete_all_sets_twice,true
Barbell Front Squat,strength,barbell-front-squat,Quadriceps,"Core,Upper Back",Barbell,Bar across front shoulders. More upright torso than back squat. Targets quads more.,4,8,50,120,advanced,reps,5,"Legs,Barbell,Compound",Wrist injuries,reps_then_load,complete_all_sets_twice,true
Barbell Deadlift,strength,barbell-deadlift,Hamstrings,"Glutes,Back,Core",Barbell,Stand with bar over midfoot. Hinge and grip bar. Drive through floor to stand. Best posterior chain exercise.,4,6,80,150,intermediate,reps,6,"Back,Barbell,Compound,Strength,Posterior Chain",,reps_then_load,complete_all_sets_twice,true
Barbell Bench Press,strength,barbell-bench-press,Chest,"Triceps,Shoulders",Barbell,Lie on bench. Lower bar to chest. Press up. Classic chest builder.,4,8,60,120,intermediate,reps,5,"Chest,Barbell,Compound,Pressing",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Barbell Overhead Press,strength,barbell-overhead-press,Shoulders,"Triceps,Upper Chest",Barbell,Stand with bar at shoulders. Press overhead. Lock out at top. Best shoulder exercise.,4,8,40,90,intermediate,reps,4,"Shoulders,Barbell,Compound,Pressing",Shoulder injuries,reps_then_load,complete_all_sets_twice,true
Barbell Row,strength,barbell-row,Back,"Biceps,Core",Barbell,Hinge at hips with bar hanging. Pull bar to lower chest. Great back thickness builder.,4,8,50,90,intermediate,reps,4,"Back,Barbell,Compound,Pulling",,reps_then_load,complete_all_sets_twice,true
Barbell Romanian Deadlift,strength,barbell-rdl,Hamstrings,"Glutes,Lower Back",Barbell,Start standing with bar. Hinge keeping legs mostly straight. Feel hamstring stretch.,3,10,60,90,intermediate,reps,4,"Hamstrings,Barbell,Posterior Chain",,reps_then_load,complete_all_sets_twice,true
Barbell Hip Thrust,strength,barbell-hip-thrust,Glutes,"Hamstrings,Core",Barbell,Upper back on bench. Bar across hips. Thrust hips up. Best glute exercise with weight.,3,12,60,75,intermediate,reps,4,"Glutes,Barbell,Compound",,reps_then_load,complete_all_sets_twice,true
Pull-up,strength,pull-up,Back,Biceps,Pull-up Bar,Hang from bar with overhand grip. Pull until chin over bar. Lower with control. Best back exercise.,3,8,,90,intermediate,reps,3,"Back,Pull-up,Bodyweight,Compound,Pulling",,reps_then_load,complete_all_sets_twice,true
Chin-up,strength,chin-up,Back,Biceps,Pull-up Bar,Pull-up with underhand grip. Emphasizes biceps more.,3,8,,90,intermediate,reps,3,"Back,Biceps,Pull-up,Bodyweight,Pulling",,reps_then_load,complete_all_sets_twice,true
Assisted Pull-up,strength,assisted-pull-up,Back,Biceps,Band,Use resistance band for assistance. Good for building up to full pull-ups.,3,10,,75,beginner,reps,3,"Back,Pull-up,Band,Progression",,reps,complete_all_sets_twice,true
Dip,strength,dip,Triceps,"Chest,Shoulders",Dip Station,Hands on parallel bars. Lower body by bending elbows. Push back up. Great for triceps and chest.,3,10,,90,intermediate,reps,3,"Triceps,Chest,Bodyweight,Compound",,reps_then_load,complete_all_sets_twice,true
Assisted Dip,strength,assisted-dip,Triceps,"Chest,Shoulders",Band,Use resistance band for assistance. Good for building up to full dips.,3,12,,75,beginner,reps,3,"Triceps,Band,Progression",,reps,complete_all_sets_twice,true
Inverted Row,strength,inverted-row,Back,Biceps,Bar,Bar at waist height. Hang underneath. Pull chest to bar. Good beginner back exercise.,3,12,,60,beginner,reps,3,"Back,Bodyweight,Pulling,Beginner",,reps_then_load,complete_all_sets_twice,true
Box Jump,power,box-jump,Quadriceps,"Glutes,Calves",Box,Jump explosively onto box. Step down. Builds power and burns fat.,3,10,,90,intermediate,reps,4,"Legs,Power,Plyometric,Fat Loss",Knee injuries,reps,complete_all_sets_twice,true
Box Step-up,strength,box-step-up,Quadriceps,"Glutes,Hamstrings",Box,Step onto box with one leg. Drive through heel. Step down. Alternate legs.,3,12,,60,beginner,reps,3,"Legs,Unilateral,Beginner,Box",,reps_then_load,complete_all_sets_twice,true
Wall Sit,strength,wall-sit,Quadriceps,"Glutes,Core",Wall,Back against wall. Slide down until thighs parallel to ground. Hold position.,3,45,time_seconds,60,beginner,time,2,"Legs,Isometric,Bodyweight,Endurance",,time,hold_for_target_time,true
Farmer's Walk,strength,farmers-walk,Forearms,"Core,Traps,Legs",Dumbbells,Hold heavy dumbbells at sides. Walk for distance or time. Great functional exercise.,3,30,time_seconds,60,intermediate,time,3,"Full Body,Grip,Functional,Core",,load,complete_all_sets_twice,true
Plank Shoulder Taps,strength,plank-shoulder-taps,Core,Shoulders,,In plank position. Alternate tapping opposite shoulder. Keep hips stable.,3,20,,45,intermediate,reps,2,"Core,Bodyweight,Stability,Fat Loss",,reps,complete_all_sets_twice,true
Bear Crawl,cardio,bear-crawl,Full Body,"Core,Shoulders",,On hands and feet with knees off ground. Crawl forward. Great metabolic exercise.,3,30,time_seconds,60,intermediate,time,3,"Full Body,Cardio,Fat Loss,Functional",,time,complete_all_sets_twice,true
Crab Walk,strength,crab-walk,Triceps,"Glutes,Shoulders",,Sitting position with hands behind. Lift hips off ground. Walk backward or forward.,3,30,time_seconds,45,beginner,time,2,"Triceps,Bodyweight,Functional",,time,complete_all_sets_twice,true
Inchworm,strength,inchworm,Core,"Hamstrings,Shoulders",,Stand then walk hands out to plank. Walk feet to hands. Great warm-up and core exercise.,3,10,,45,beginner,reps,2,"Core,Flexibility,Warm-up,Full Body",,reps,complete_all_sets_twice,true
Squat Jump,power,squat-jump,Quadriceps,"Glutes,Calves",,Same as jump squat. Explosive bodyweight exercise for power and fat loss.,3,12,,90,intermediate,reps,3,"Legs,Power,Fat Loss,Plyometric",,reps,complete_all_sets_twice,true
Tuck Jump,power,tuck-jump,Quadriceps,"Core,Hip Flexors",,Jump and bring knees to chest. Advanced plyometric.,3,8,,90,advanced,reps,3,"Legs,Power,Plyometric,Fat Loss",,reps,complete_all_sets_twice,true
Broad Jump,power,broad-jump,Quadriceps,"Glutes,Hamstrings",,Jump forward for maximum distance. Reset and repeat. Builds explosive power.,3,8,,90,intermediate,reps,3,"Legs,Power,Plyometric",,reps,complete_all_sets_twice,true
Skater Jumps,cardio,skater-jumps,Legs,"Core,Balance",,Jump laterally from one leg to other. Like speed skating motion. Great for fat loss.,3,20,,60,intermediate,reps,3,"Cardio,Fat Loss,Legs,Plyometric",,reps,complete_all_sets_twice,true
Hollow Body Hold,strength,hollow-body-hold,Core,Hip Flexors,,Lie on back. Raise shoulders and legs off ground. Hold position. Advanced core exercise.,3,30,time_seconds,60,advanced,time,2,"Core,Bodyweight,Gymnastics",,time,hold_for_target_time,true
L-Sit,strength,l-sit,Core,"Hip Flexors,Triceps",,Support body on hands with legs straight out in front. Hold. Very challenging.,3,15,time_seconds,90,advanced,time,2,"Core,Bodyweight,Gymnastics,Strength",,time,hold_for_target_time,true
Handstand Hold,strength,handstand-hold,Shoulders,"Core,Balance",Wall,Kick up to handstand against wall. Hold position. Advanced shoulder exercise.,3,30,time_seconds,90,advanced,time,3,"Shoulders,Bodyweight,Gymnastics,Balance",Shoulder injuries,time,hold_for_target_time,true
Archer Push-up,strength,archer-push-up,Chest,"Triceps,Core",,Wide push-up shifting weight to one side. Progression toward one-arm push-up.,3,8,,75,advanced,reps,3,"Chest,Bodyweight,Advanced,Unilateral",,reps,complete_all_sets_twice,true
Pistol Squat,strength,pistol-squat,Quadriceps,"Glutes,Balance",,Single-leg squat with other leg extended. Extremely challenging balance and strength.,3,6,,90,advanced,reps,4,"Legs,Bodyweight,Advanced,Unilateral,Balance",,reps,complete_all_sets_twice,true
Shrimp Squat,strength,shrimp-squat,Quadriceps,"Glutes,Balance",,Single-leg squat holding other foot behind. Easier than pistol squat.,3,8,,75,advanced,reps,3,"Legs,Bodyweight,Unilateral,Balance",,reps,complete_all_sets_twice,true
Nordic Hamstring Curl,strength,nordic-hamstring-curl,Hamstrings,Core,,Knees anchored. Lower body forward with control. Eccentric hamstring destroyer.,3,6,,120,advanced,reps,4,"Hamstrings,Bodyweight,Advanced,Eccentric",,reps,complete_all_sets_twice,true
